"название";"дата";"время";" размер"
"Index of /openbsd/5.9/packages/i386/";;;
"../";;;
"0ad-0.0.19p0.tgz";"25-Feb-2016";"02:11";"     77M"
"0ad-data-0.0.19p0.tgz";"25-Feb-2016";"02:11";"    705M"
"9libs-1.0p7.tgz";"25-Feb-2016";"02:10";"    126K"
"AcePerl-1.92p1-opt.tgz";"25-Feb-2016";"02:10";"    227K"
"AcePerl-1.92p1.tgz";"25-Feb-2016";"02:10";"    223K"
"AsteriskGuide-2.0.tgz";"25-Feb-2016";"02:10";"      7M"
"AsteriskTFOT-2.0.tgz";"25-Feb-2016";"02:10";"     11M"
"BasiliskII-1.0p6.tgz";"25-Feb-2016";"02:10";"    299K"
"BlockZone-1.004p1.tgz";"25-Feb-2016";"02:10";"     27K"
"ColorExplorer-1.8p2.tgz";"25-Feb-2016";"02:10";"     16K"
"DevIL-1.7.8p11.tgz";"25-Feb-2016";"02:10";"    656K"
"EMBOSS-6.0.1p4.tgz";"25-Feb-2016";"02:10";"     15M"
"GAMMApage-0.5p3.tgz";"25-Feb-2016";"02:10";"     14K"
"GeoIP-1.6.5p2.tgz";"25-Feb-2016";"02:10";"      1M"
"GraphicsMagick-1.3.23.tgz";"25-Feb-2016";"02:10";"      4M"
"ImageMagick-6.9.3.0.tgz";"25-Feb-2016";"02:10";"      7M"
"OGIlexicon-2.1.tgz";"25-Feb-2016";"02:10";"      2M"
"ORBit2-2.14.19p7.tgz";"25-Feb-2016";"02:10";"    562K"
"OpenEXR-2.2.0p0.tgz";"25-Feb-2016";"02:10";"      2M"
"OpenEXR-doc-2.2.0p0.tgz";"25-Feb-2016";"02:10";"      2M"
"OpenEXR-tools-2.2.0p0.tgz";"25-Feb-2016";"02:10";"    128K"
"R-3.2.3.tgz";"25-Feb-2016";"02:11";"     38M"
"Ri-li-2.0.1.tgz";"25-Feb-2016";"02:10";"     19M"
"SHA256";"25-Feb-2016";"02:33";"    726K"
"SHA256.sig";"25-Feb-2016";"02:33";"    726K"
"STk-4.0.1p17.tgz";"25-Feb-2016";"02:11";"      2M"
"TclCurl-7.19.6p3.tgz";"25-Feb-2016";"02:11";"     60K"
"Tktable-2.10p3.tgz";"25-Feb-2016";"02:11";"    119K"
"ValyriaTear-1.0.0p1.tgz";"25-Feb-2016";"02:11";"     91M"
"WMmp-0.10.0p4.tgz";"25-Feb-2016";"02:11";"     24K"
"Wnn-data-4.2.tgz";"25-Feb-2016";"02:11";3316
"Wnn-xwnmo-4.2p7.tgz";"25-Feb-2016";"02:11";"    359K"
"WordGenerator-1.9p1.tgz";"25-Feb-2016";"02:11";"     55K"
"XPostitPlus-2.3p4.tgz";"25-Feb-2016";"02:11";"     44K"
"Xaw3d-1.5p3.tgz";"25-Feb-2016";"02:11";"    373K"
"XawMu-1.5p3.tgz";"25-Feb-2016";"02:11";"    394K"
"Xdialog-2.3.1p5.tgz";"25-Feb-2016";"02:11";"      1M"
"a2ps-4.14p11.tgz";"25-Feb-2016";"02:11";"      1M"
"aalib-1.4p6.tgz";"25-Feb-2016";"02:11";"    148K"
